position_valid,std,x,y,z,distance_r0,distance_r1,distance_r2,distance_r3,nsd_r0,nsd_r1,nsd_r2,nsd_r3,rssi_r0,rssi_r1,rssi_r2,rssi_r3,valid_r0,valid_r1,valid_r2,valid_r3,timestamp
True,1.695849061012268,7.341414451599121,1.0315524339675903,0.6762602925300598,7.457600116729736,6.749599933624268,6.749599933624268,7.079999923706055,-66.13513946533203,-82.6309814453125,-69.68962860107422,-78.25801086425781,-62.86174011230469,-61.17804718017578,-55.909481048583984,-60.72970199584961,1,1,1,1,1685982368.6654053
True,1.6910598278045654,7.41679573059082,1.0423394441604614,0.5954325795173645,7.504799842834473,6.843999862670898,6.796800136566162,7.127200126647949,-70.99946594238281,-65.07919311523438,-63.821075439453125,-85.83428955078125,-60.70453643798828,-62.41728973388672,-57.884788513183594,-63.52846908569336,1,1,1,1,1685982369.1720848
True,1.6768956184387207,7.463155269622803,1.167649269104004,0.778698742389679,7.552000045776367,6.891200065612793,6.891200065612793,7.22160005569458,-69.60089874267578,-70.40528869628906,-68.11056518554688,-92.8411865234375,-60.63371276855469,-59.62977981567383,-58.36920166015625,-64.6063232421875,1,1,1,1,1685982369.6801636
True,1.6731181144714355,7.135829925537109,1.7132269144058228,0.6899978518486023,7.5991997718811035,6.938399791717529,6.938399791717529,7.268799781799316,-95.27135467529297,-101.67926025390625,-98.99605560302734,-101.12945556640625,-61.40956497192383,-59.558685302734375,-57.85179901123047,-63.18052673339844,1,1,1,1,1685982370.1863935
True,1.6796700954437256,7.112783908843994,1.7669514417648315,0.688177227973938,7.693600177764893,7.032800197601318,7.032800197601318,7.3632001876831055,-68.95360565185547,-83.38611602783203,-69.29487609863281,-80.70590209960938,-59.917930603027344,-59.22956848144531,-58.30794143676758,-68.60413360595703,1,1,1,1,1685982370.6930826
True,1.686783790588379,7.162590980529785,1.785159707069397,0.6419087052345276,7.788000106811523,7.127200126647949,7.127200126647949,7.457600116729736,-92.70735931396484,-102.17768096923828,-95.27056884765625,-99.7479476928711,-61.04520034790039,-59.26542282104492,-59.13703918457031,-68.00485229492188,1,1,1,1,1685982371.199762
False,2.6163408756256104,7.162590980529785,1.785159707069397,0.6419087052345276,-1,-1,-1,-1,-69.82518768310547,-71.3760986328125,-68.2000732421875,-94.08704376220703,-95.01461029052734,-97.3840560913086,-94.75250244140625,-107.76217651367188,0,0,0,0,1685982371.7048862
True,1.8181729316711426,7.223170280456543,1.8009010553359985,0.6409492492675781,7.788000106811523,7.127200126647949,7.1743998527526855,7.457600116729736,-71.98544311523438,-67.85128784179688,-67.98505401611328,-91.39836883544922,-60.01482009887695,-57.09172439575195,-61.29433059692383,-67.71331024169922,1,1,1,1,1685982372.2133176
True,1.7069720029830933,7.2773661613464355,1.814447045326233,0.721653401851654,7.882400035858154,7.22160005569458,7.268799781799316,7.552000045776367,-66.1133041381836,-84.86738586425781,-70.60549926757812,-80.14562225341797,-59.89992141723633,-56.847557067871094,-62.77229690551758,-66.3520736694336,1,1,1,1,1685982372.719811
True,1.693788766860962,7.118634223937988,2.132549524307251,0.8619927763938904,7.929599761962891,7.268799781799316,7.315999984741211,7.5991997718811035,-66.62913513183594,-85.79522705078125,-71.2279052734375,-88.42333984375,-60.2464599609375,-56.656070709228516,-63.64418411254883,-65.84188842773438,1,1,1,1,1685982373.225601
True,1.6977436542510986,7.080433368682861,2.2801411151885986,0.9573437571525574,8.02400016784668,7.3632001876831055,7.410399913787842,7.693600177764893,-100.64534759521484,-102.58255004882812,-100.9410629272461,-100.99519348144531,-60.5386962890625,-57.911766052246094,-62.5877799987793,-64.71085357666016,1,1,1,1,1685982373.730713
True,1.6984994411468506,7.0793657302856445,2.297947406768799,0.9593175053596497,8.02400016784668,7.3632001876831055,7.410399913787842,7.693600177764893,-74.37458038330078,-64.70591735839844,-63.753456115722656,-78.39288330078125,-62.692901611328125,-59.43719482421875,-62.2088508605957,-65.365234375,1,1,1,1,1685982374.2422533
True,1.6827728748321533,6.955986976623535,2.3806874752044678,0.5550100207328796,7.976799964904785,7.315999984741211,7.3632001876831055,7.693600177764893,-70.38993072509766,-68.86714935302734,-67.51866149902344,-93.10183715820312,-61.07474136352539,-57.39349365234375,-64.1214370727539,-69.12472534179688,1,1,1,1,1685982374.7481203
