position_valid,std,x,y,z,distance_r0,distance_r1,distance_r2,distance_r3,nsd_r0,nsd_r1,nsd_r2,nsd_r3,rssi_r0,rssi_r1,rssi_r2,rssi_r3,valid_r0,valid_r1,valid_r2,valid_r3,timestamp
True,1.6855679750442505,6.848219394683838,4.5326762199401855,1.1432740688323975,9.628800392150879,9.015199661254883,9.109600067138672,9.345600128173828,-99.29877471923828,-99.94677734375,-97.65264129638672,-101.906982421875,-64.60015869140625,-57.12812423706055,-69.80825805664062,-70.73358154296875,1,1,1,1,1685983086.5660493
True,1.8218523263931274,6.870214462280273,4.469717979431152,0.4942898154258728,9.628800392150879,8.968000411987305,9.109600067138672,9.345600128173828,-63.930599212646484,-86.3820571899414,-72.7828598022461,-79.95333862304688,-62.85264205932617,-56.6849250793457,-68.4925765991211,-69.88803100585938,1,1,1,1,1685983087.0735354
True,1.6941531896591187,6.873309135437012,4.464838027954102,0.5916986465454102,9.628800392150879,8.968000411987305,9.109600067138672,9.487199783325195,-68.53104400634766,-66.57403564453125,-67.26087951660156,-89.04076385498047,-62.58418273925781,-55.99802780151367,-68.21630859375,-70.25743103027344,1,1,1,1,1685983087.57982
True,1.6791877746582031,6.873231887817383,4.463737487792969,0.593697190284729,9.628800392150879,8.968000411987305,9.204000473022461,9.345600128173828,-65.0930404663086,-74.59503936767578,-66.87078094482422,-96.83829498291016,-63.4225959777832,-55.59611511230469,-68.16189575195312,-70.1893310546875,1,1,1,1,1685983088.0866542
True,1.6703543663024902,6.849692344665527,4.448276042938232,0.6399694681167603,9.581600189208984,8.92080020904541,9.062399864196777,9.298399925231934,-101.78040313720703,-102.44821166992188,-100.41156005859375,-102.20150756835938,-62.67097473144531,-56.497337341308594,-68.80915832519531,-70.18172454833984,1,1,1,1,1685983088.5918899
True,1.6751234531402588,6.749398231506348,4.526573181152344,0.7796128392219543,9.53439998626709,8.92080020904541,9.015199661254883,9.251199722290039,-68.53585815429688,-83.74443054199219,-69.3215560913086,-76.98865509033203,-63.999961853027344,-58.26871109008789,-68.25940704345703,-72.39512634277344,1,1,1,1,1685983089.0987914
True,1.6761540174484253,6.722875595092773,4.530763626098633,0.8169694542884827,9.581600189208984,8.92080020904541,9.062399864196777,9.4399995803833,-64.40614318847656,-85.64458465576172,-72.54940032958984,-81.61082458496094,-62.46479034423828,-55.90652084350586,-67.70977020263672,-69.71359252929688,1,1,1,1,1685983089.6058166
True,1.6825755834579468,6.88776159286499,4.354996681213379,0.9101887941360474,9.53439998626709,8.873600006103516,9.062399864196777,9.251199722290039,-67.02103424072266,-70.46832275390625,-66.97199249267578,-93.47906494140625,-64.49042510986328,-56.31968307495117,-69.59547424316406,-72.27262115478516,1,1,1,1,1685983090.1120076
True,1.6838353872299194,6.901333332061768,4.3203535079956055,0.9121184349060059,9.487199783325195,8.873600006103516,8.968000411987305,9.204000473022461,-70.27228546142578,-66.17916107177734,-65.99415588378906,-87.53143310546875,-63.987186431884766,-57.668304443359375,-67.19056701660156,-70.93436431884766,1,1,1,1,1685983090.617836
True,1.6839672327041626,6.949606418609619,4.343784332275391,0.9121583700180054,9.53439998626709,8.92080020904541,9.015199661254883,9.251199722290039,-102.85474395751953,-102.87467193603516,-101.31184387207031,-101.76219940185547,-64.75271606445312,-58.33400344848633,-68.44998931884766,-71.55720520019531,1,1,1,1,1685983091.1232123
